"TRE_CN","PREV_TRE_CN","PLT_CN","pltID","DIA","HT","CR","MEASYEAR","STATECD","STATUSCD","SPCD","LAT","LON","MEASYEAR_T1","SPECIES"
220397167010854,NA,79200578010478,"1_51_181_10",2.9,36,25,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397168010854,NA,79200578010478,"1_51_181_10",3.2,32,30,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397169010854,NA,79200578010478,"1_51_181_10",2.9,31,40,2005,51,1,611,37.104961,-76.817725,2005,"SU"
220397170010854,220154245010854,79200578010478,"1_51_181_10",6.9,40,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397171010854,220154246010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397172010854,220154247010854,79200578010478,"1_51_181_10",5.6,39,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397173010854,220154248010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397174010854,220154249010854,79200578010478,"1_51_181_10",4.8,34,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397175010854,220154250010854,79200578010478,"1_51_181_10",3.2,29,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397176010854,220154251010854,79200578010478,"1_51_181_10",2.7,28,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397177010854,220154252010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397178010854,220154253010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397179010854,220154254010854,79200578010478,"1_51_181_10",2.7,26,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397180010854,220154255010854,79200578010478,"1_51_181_10",5.8,37,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397181010854,220154256010854,79200578010478,"1_51_181_10",3.1,29,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397182010854,NA,79200578010478,"1_51_181_10",6.5,36,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397183010854,NA,79200578010478,"1_51_181_10",7.3,36,45,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397184010854,NA,79200578010478,"1_51_181_10",6.1,35,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397185010854,NA,79200578010478,"1_51_181_10",6.1,36,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397186010854,NA,79200578010478,"1_51_181_10",5.5,34,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397187010854,NA,79200578010478,"1_51_181_10",6,35,35,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397188010854,NA,79200578010478,"1_51_181_10",5.3,42,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397189010854,NA,79200578010478,"1_51_181_10",7.4,33,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397190010854,NA,79200578010478,"1_51_181_10",6.6,38,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397191010854,NA,79200578010478,"1_51_181_10",9.2,38,55,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397192010854,NA,79200578010478,"1_51_181_10",8,39,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397193010854,NA,79200578010478,"1_51_181_10",5.6,38,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397194010854,NA,79200578010478,"1_51_181_10",6.1,39,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397195010854,NA,79200578010478,"1_51_181_10",5.5,35,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397196010854,NA,79200578010478,"1_51_181_10",7.5,41,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397197010854,NA,79200578010478,"1_51_181_10",5.9,38,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397198010854,NA,79200578010478,"1_51_181_10",6.2,40,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397199010854,NA,79200578010478,"1_51_181_10",6.9,33,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397200010854,NA,79200578010478,"1_51_181_10",6.2,38,30,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397201010854,NA,79200578010478,"1_51_181_10",8.3,39,60,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397202010854,NA,79200578010478,"1_51_181_10",3.8,37,15,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397203010854,220154257010854,79200578010478,"1_51_181_10",3.7,26,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397204010854,220154258010854,79200578010478,"1_51_181_10",7.4,42,50,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397205010854,220154259010854,79200578010478,"1_51_181_10",5,38,25,2005,51,1,131,37.104961,-76.817725,2005,"LP"
220397206010854,220154260010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397207010854,220154261010854,79200578010478,"1_51_181_10",NA,NA,NA,2005,51,0,131,37.104961,-76.817725,2005,"LP"
220397208010854,220154262010854,79200578010478,"1_51_181_10",8,43,40,2005,51,1,131,37.104961,-76.817725,2005,"LP"
